age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,nr.employed,y
24,technician,single,professional.course,no,no,no,cellular,jun,tue,2,999,1,failure,92.963,-40.8,5076.2,0
32,blue-collar,married,professional.course,no,no,no,telephone,may,thu,1,999,0,nonexistent,93.994,-36.4,5191.0,1
33,self-employed,single,university.degree,no,no,no,telephone,nov,thu,1,999,0,nonexistent,93.2,-42.0,5195.8,0
38,entrepreneur,married,basic.9y,no,no,yes,telephone,jul,fri,4,999,0,nonexistent,93.918,-42.7,5228.1,0
39,services,married,high.school,no,yes,yes,cellular,jul,tue,4,999,0,nonexistent,93.918,-42.7,5228.1,0
43,blue-collar,married,basic.4y,no,yes,no,telephone,jun,wed,4,999,0,nonexistent,94.465,-41.8,5228.1,0
57,blue-collar,divorced,basic.9y,no,yes,no,cellular,nov,mon,1,999,0,nonexistent,93.2,-42.0,5195.8,0
55,management,married,,no,yes,yes,telephone,may,wed,2,999,0,nonexistent,93.994,-36.4,5191.0,0
36,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,4,999,0,nonexistent,93.994,-36.4,5191.0,0
57,admin.,single,high.school,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,92.201,-31.4,5076.2,1
42,admin.,married,university.degree,no,no,no,telephone,jun,tue,14,999,0,nonexistent,94.465,-41.8,5228.1,0
43,admin.,married,high.school,,yes,no,cellular,jun,mon,1,999,0,nonexistent,92.963,-40.8,5076.2,0
38,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,3,999,0,nonexistent,93.994,-36.4,5191.0,0
41,blue-collar,married,basic.4y,no,no,no,telephone,may,thu,1,999,0,nonexistent,93.994,-36.4,5191.0,0
35,technician,married,university.degree,no,no,no,telephone,jun,mon,1,999,0,nonexistent,94.465,-41.8,5228.1,0
38,blue-collar,married,high.school,,yes,no,cellular,may,mon,1,999,0,nonexistent,92.893,-46.2,5099.1,0
54,admin.,married,professional.course,no,no,no,cellular,nov,tue,2,10,1,success,94.767,-50.8,4963.6,1
47,blue-collar,married,,,no,no,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,1
41,admin.,married,high.school,no,no,yes,cellular,apr,fri,2,999,0,nonexistent,93.075,-47.1,5099.1,0
43,technician,single,professional.course,,yes,no,telephone,jul,wed,7,999,0,nonexistent,93.918,-42.7,5228.1,0
59,retired,married,high.school,,no,yes,telephone,jun,thu,1,999,0,nonexistent,94.465,-41.8,5228.1,0
42,management,married,university.degree,no,yes,no,cellular,aug,thu,2,999,0,nonexistent,93.444,-36.1,5228.1,0
47,management,married,basic.4y,,no,no,telephone,may,fri,2,999,0,nonexistent,93.994,-36.4,5191.0,0
39,self-employed,divorced,university.degree,no,no,no,cellular,may,mon,1,999,0,nonexistent,92.893,-46.2,5099.1,0
44,retired,single,high.school,no,no,no,cellular,aug,mon,4,999,0,nonexistent,94.027,-38.3,4991.6,1
68,retired,divorced,high.school,no,yes,yes,cellular,jul,wed,1,3,1,success,94.215,-40.3,4991.6,1
31,technician,married,professional.course,no,no,no,cellular,aug,fri,2,999,0,nonexistent,93.444,-36.1,5228.1,0
49,admin.,single,high.school,no,yes,no,cellular,jul,thu,13,999,0,nonexistent,93.918,-42.7,5228.1,0
32,technician,single,university.degree,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,93.444,-36.1,5228.1,0
55,technician,married,professional.course,no,no,no,cellular,apr,mon,2,999,1,failure,93.075,-47.1,5099.1,0
39,admin.,married,university.degree,no,yes,no,cellular,aug,mon,4,999,0,nonexistent,93.444,-36.1,5228.1,0
33,blue-collar,married,basic.9y,no,,,cellular,nov,tue,1,999,1,failure,93.2,-42.0,5195.8,0
31,services,divorced,high.school,no,yes,yes,cellular,nov,mon,1,999,0,nonexistent,93.2,-42.0,5195.8,0
51,blue-collar,married,basic.9y,,yes,no,cellular,nov,fri,1,999,0,nonexistent,93.2,-42.0,5195.8,0
32,admin.,single,university.degree,no,yes,no,cellular,jul,wed,5,999,0,nonexistent,92.469,-33.6,5076.2,1
41,technician,married,professional.course,no,,,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
57,housemaid,married,basic.6y,no,no,yes,telephone,may,mon,4,999,0,nonexistent,93.994,-36.4,5191.0,0
35,blue-collar,married,professional.course,no,yes,no,cellular,jul,mon,5,999,0,nonexistent,93.918,-42.7,5228.1,0
33,blue-collar,married,basic.9y,no,no,yes,telephone,may,wed,1,999,0,nonexistent,93.994,-36.4,5191.0,0
38,blue-collar,married,,no,no,no,cellular,nov,mon,1,999,0,nonexistent,93.2,-42.0,5195.8,0
42,entrepreneur,single,,no,no,no,cellular,jul,wed,1,999,0,nonexistent,93.918,-42.7,5228.1,0
43,blue-collar,divorced,basic.9y,no,,,cellular,nov,thu,3,999,0,nonexistent,93.2,-42.0,5195.8,0
28,blue-collar,single,high.school,no,yes,no,cellular,apr,thu,2,999,1,failure,93.075,-47.1,5099.1,0
24,admin.,single,university.degree,no,yes,no,telephone,apr,thu,1,999,0,nonexistent,93.075,-47.1,5099.1,0
39,management,married,high.school,no,no,no,cellular,aug,wed,1,999,0,nonexistent,93.444,-36.1,5228.1,0
41,entrepreneur,married,basic.4y,no,yes,no,cellular,jul,mon,1,999,0,nonexistent,93.918,-42.7,5228.1,0
32,admin.,married,university.degree,no,yes,no,cellular,may,thu,6,999,1,failure,92.893,-46.2,5099.1,0
37,blue-collar,married,basic.9y,,no,no,telephone,may,wed,2,999,0,nonexistent,92.893,-46.2,5099.1,0
37,admin.,married,high.school,no,yes,no,telephone,may,thu,1,999,0,nonexistent,93.994,-36.4,5191.0,0
27,blue-collar,single,basic.9y,no,no,no,telephone,jun,wed,2,999,0,nonexistent,94.465,-41.8,5228.1,0
49,admin.,single,high.school,no,no,no,telephone,jul,thu,2,999,0,nonexistent,93.918,-42.7,5228.1,0
33,technician,single,high.school,no,no,no,cellular,apr,fri,2,999,0,nonexistent,93.075,-47.1,5099.1,0
58,retired,single,professional.course,no,yes,no,cellular,apr,wed,3,999,0,nonexistent,93.075,-47.1,5099.1,1
40,blue-collar,married,basic.4y,,yes,no,cellular,jul,thu,1,999,0,nonexistent,93.918,-42.7,5228.1,0
76,management,married,,no,no,no,cellular,sep,fri,1,999,0,nonexistent,92.379,-29.8,5017.5,0
67,admin.,married,basic.4y,,no,no,cellular,jun,tue,1,999,0,nonexistent,92.963,-40.8,5076.2,1
26,admin.,divorced,basic.9y,no,no,no,cellular,jul,mon,3,999,0,nonexistent,93.918,-42.7,5228.1,0
41,admin.,married,university.degree,no,yes,no,telephone,may,thu,1,999,0,nonexistent,93.994,-36.4,5191.0,0
39,blue-collar,married,basic.6y,,yes,yes,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
48,admin.,married,university.degree,no,yes,yes,cellular,nov,tue,1,999,1,failure,93.2,-42.0,5195.8,0
70,technician,married,,no,no,no,cellular,aug,thu,1,999,0,nonexistent,94.027,-38.3,4991.6,1
33,blue-collar,married,basic.9y,no,no,no,telephone,jun,tue,2,999,0,nonexistent,94.465,-41.8,5228.1,0
49,admin.,divorced,basic.9y,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,93.918,-42.7,5228.1,0
34,blue-collar,married,basic.6y,no,no,no,cellular,may,tue,2,999,1,failure,92.893,-46.2,5099.1,0
50,management,married,university.degree,no,no,no,cellular,nov,tue,1,999,0,nonexistent,93.2,-42.0,5195.8,0
34,housemaid,married,university.degree,no,no,yes,cellular,aug,thu,2,6,1,success,92.201,-31.4,5076.2,0
41,admin.,married,high.school,no,yes,no,cellular,nov,mon,2,999,0,nonexistent,93.2,-42.0,5195.8,0
41,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,2,999,0,nonexistent,94.465,-41.8,5228.1,0
39,unemployed,married,basic.9y,,yes,no,cellular,nov,tue,1,999,0,nonexistent,93.2,-42.0,5195.8,0
30,blue-collar,married,basic.9y,,yes,no,cellular,jul,thu,11,999,0,nonexistent,93.918,-42.7,5228.1,0
47,technician,divorced,professional.course,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,93.918,-42.7,5228.1,0
55,retired,divorced,basic.9y,no,no,no,cellular,nov,thu,1,999,0,nonexistent,93.2,-42.0,5195.8,0
35,admin.,single,university.degree,no,yes,no,cellular,may,tue,2,999,1,failure,92.893,-46.2,5099.1,0
49,technician,married,university.degree,,yes,no,cellular,jul,mon,2,999,0,nonexistent,93.918,-42.7,5228.1,0
57,blue-collar,married,basic.4y,,no,no,cellular,jul,fri,3,999,0,nonexistent,93.918,-42.7,5228.1,0
52,admin.,married,university.degree,no,yes,no,telephone,mar,tue,1,999,1,failure,93.369,-34.8,5008.7,0
37,technician,single,professional.course,no,no,no,cellular,aug,wed,1,999,0,nonexistent,93.444,-36.1,5228.1,0
